Id,SalePrice
1461,117660.44
1462,155285.86
1463,194696.52
1464,191186.73
1465,176681.8
1466,165473.66
1467,156736.64
1468,171559.72
1469,173270.08
1470,121153.89
1471,193132.56
1472,89877.28
1473,97679.555
1474,149449.66
1475,118252.93
1476,330098.6
1477,270426.66
1478,265965.1
1479,264901.9
1480,499376.56
1481,312103.34
1482,210448.69
1483,181905.97
1484,168243.06
1485,173113.5
1486,190371.28
1487,326100.7
1488,243279.22
1489,210764.39
1490,200729.97
1491,186943.23
1492,102399.91
1493,198738.88
1494,327529.72
1495,304531.75
1496,229035.62
1497,188354.47
1498,161859.81
1499,161633.67
1500,150016.55
1501,165439.25
1502,140412.9
1503,297456.84
1504,249498.45
1505,223316.25
1506,192506.06
1507,238272.28
1508,226017.17
1509,167792.64
1510,148243.5
1511,153535.28
1512,172802.75
1513,140831.3
1514,182304.53
1515,211066.55
1516,121127.31
1517,163677.52
1518,143198.4
1519,229534.83
1520,137897.98
1521,142487.72
1522,162439.84
1523,113710.8
1524,114342.164
1525,116468.79
1526,118042.57
1527,110546.086
1528,126630.08
1529,152269.0
1530,169782.19
1531,112507.42
1532,112526.32
1533,147241.16
1534,128317.43
1535,155658.31
1536,104862.55
1537,77934.15
1538,153971.95
1539,187980.86
1540,96036.96
1541,145901.5
1542,144794.11
1543,239143.95
1544,98541.195
1545,103889.54
1546,119268.74
1547,138641.58
1548,143185.3
1549,113891.73
1550,141284.78
1551,127432.055
1552,115073.14
1553,160967.28
1554,109066.1
1555,183941.95
1556,82982.14
1557,119639.664
1558,98431.77
1559,100276.53
1560,153719.89
1561,136522.72
1562,131405.75
1563,124561.81
1564,163913.08
1565,149229.03
1566,264386.8
1567,65965.84
1568,213279.97
1569,147844.22
1570,133529.95
1571,131175.61
1572,151074.66
1573,261057.0
1574,117922.62
1575,235725.52
1576,210758.6
1577,212202.02
1578,145239.7
1579,147443.36
1580,197874.97
1581,138322.5
1582,126341.78
1583,345827.88
1584,231437.06
1585,142097.03
1586,76077.85
1587,97276.75
1588,157011.33
1589,113397.836
1590,129945.445
1591,99153.56
1592,114021.484
1593,135553.23
1594,114459.555
1595,104952.29
1596,257696.17
1597,199096.1
1598,203169.53
1599,181315.88
1600,171520.45
1601,77684.664
1602,122694.52
1603,82427.984
1604,271034.2
1605,239753.89
1606,164325.02
1607,173896.83
1608,208125.06
1609,188657.38
1610,177031.27
1611,143346.52
1612,178685.22
1613,159649.45
